Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
150000,Fia Dolce Vita,2021,Automatique,Diesel,57500.0,Fiat,500,3,WW au Maroc,Non,6 CV,Excellent,"Airbags, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
109000,Dacia Duster d'un particulier à Casablanca,2017,Manuelle,Diesel,225000.0,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, ESP, Vitres électriques"
118000,dacia,2013,Manuelle,Diesel,97500.0,Dacia,Duster,5,WW au Maroc,Non,7 CV,Très bon,"Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
420000,land-rover range rover evoque,2021,Automatique,Diesel,135000.0,Land Rover,Range Rover Evoque,5,WW au Maroc,Non,8 CV,Excellent,Aucun
260000,Range Evoque importée neuve Dynamic plus,2016,Automatique,Diesel,155000.0,Land Rover,Range Rover Evoque,5,Importée neuve,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
215000,Mercedes c220 automatique 2014,2014,Automatique,Diesel,195000.0,Mercedes-Benz,Classe C,5,WW au Maroc,Non,9 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Vitres électriques"
140000,ڤولزڤاڭن جولف 6 ديزل يدوي 2011 في طنجة,2011,Manuelle,Diesel,195000.0,Volkswagen,Golf 6,5,Dédouanée,Non,6 CV,Bon,"Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Vitres électriques"
153000,dacia duster,2021,Manuelle,Diesel,105000.0,Dacia,Duster,5,WW au Maroc,Non,6 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
190000,golf 7,2018,Manuelle,Diesel,115000.0,Volkswagen,Golf 7,5,WW au Maroc,Non,8 CV,Excellent,Aucun
108000,skoda octavia Automatique 2012,2012,Automatique,Diesel,185000.0,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
380000,Mercedes Classe C220,2018,Automatique,Diesel,165000.0,Mercedes-Benz,Classe C,5,Dédouanée,Non,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
340000,Hyundai Tucson avendre version l'Ultimate camera 📸,2022,Automatique,Diesel,87500.0,Hyundai,Tucson,5,WW au Maroc,Non,30 CV,Très bon,Aucun
235000,Kia Sportage Diesel Automatique 2021 à Casablanca,2021,Automatique,Diesel,105000.0,Kia,Sportage,5,WW au Maroc,Oui,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
185000,Ford transit,2018,Manuelle,Diesel,12500.0,Ford,Transit,5,WW au Maroc,Non,6 CV,Très bon,"CD/MP3/Bluetooth, Verrouillage centralisé à distance, Vitres électriques"
197000,Renault Captur Diesel Manuelle 2020 à Fès,2020,Manuelle,Diesel,17500.0,Renault,Captur,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
580000,range rover sport,2019,Automatique,Diesel,125000.0,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12 CV,Excellent,Aucun
175000,volvo v40 etat neuf,2019,Automatique,Diesel,145000.0,Volvo,V40,5,WW au Maroc,Non,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Verrouillage centralisé à distance, Vitres électriques"
129000,Dacia Sandero Stepway modèle 2020,2020,Manuelle,Diesel,92500.0,Dacia,Sandero,5,WW au Maroc,Non,6 CV,Excellent,"CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Ordinateur de bord, Radar de recul, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques"
145000,dacia logan 2022 tout optione 1er main,2022,Manuelle,Diesel,42500.0,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
25000,renault super 5,1987,Manuelle,Essence,155000.0,Renault,Super 5,5,WW au Maroc,Non,6 CV,Excellent,CD/MP3/Bluetooth
110000,alfa romeo,2016,Manuelle,Essence,52500.0,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir"
104000,Fiat 500 Essence Automatique 2018 à Casablanca,2018,Automatique,Essence,105000.0,Fiat,500,3,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, Climatisation, ESP, Radar de recul, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
159000,Renault Mégane4 modèle 2019 1ère main,2019,Manuelle,Diesel,145000.0,Renault,Megane,5,WW au Maroc,Oui,6 CV,Excellent,Aucun
195000,DACIA DUSTER 2021 BVM,2021,Manuelle,Diesel,105000.0,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
238000,Tigouan Rline full option,2013,Automatique,Diesel,175000.0,Volkswagen,Tiguan,5,Importée neuve,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
