Prix,Titre,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements
8 000 DH,fiat palio,2000,Manuelle,Diesel,120 000 - 129 999,Fiat,Palio,5,Dédouanée,Oui,5 CV,Excellent,"CD/MP3/Bluetooth, Verrouillage centralisé à distance"
,toyota corolla,2016,Manuelle,Diesel,160 000 - 169 999,Toyota,Corolla,,WW au Maroc,,5 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
159 000 DH,Renault Mégane4 Modèle 2019 1ère main,2019,Manuelle,Diesel,140 000 - 149 999,Renault,Megane,5,WW au Maroc,Oui,6 CV,Très bon,Aucun
325 000 DH,Hyundai Santa Fe Diesel Automatique 2021,2021,Automatique,Diesel,60 000 - 64 999,Hyundai,Santa Fe,5,WW au Maroc,Non,9 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,série 730ld 2016 importé neuf,2016,Automatique,Diesel,110 000 - 119 999,BMW,Série 7,5,Importée neuve,Oui,12 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
127 000 DH,Toyota Yaris essence excellent état,2020,Manuelle,Essence,30 000 - 34 999,Toyota,Yaris,5,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
,Mercedes W203,2001,Manuelle,Diesel,100 000 - 109 999,Mercedes-Benz,220,5,Dédouanée,Non,8 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, Jantes aluminium, Verrouillage centralisé à distance, Vitres électriques"
300 000 DH,BMW X5 Xdrive 25 d,2017,Automatique,Diesel,140 000 - 149 999,BMW,X5,5,WW au Maroc,Oui,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques"
430 000 DH,Cupra Formentor Diesel Automatique 2023 à Tanger,2023,Automatique,Diesel,25 000 - 29 999,Cupra,Formentor,5,,,8 CV,Excellent,Aucun
155 000 DH,Mini Country Man SD 2.0  Automatique 2012,2012,Automatique,Diesel,120 000 - 129 999,Mini,CountryMan,5,WW au Maroc,Non,8 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
,أودي 80 ديزل، موديل 1989، فحالة زوينة بزاف,1989,Manuelle,Diesel,250 000 - 299 999,Audi,80,5,,Non,6 CV,Très bon,Aucun
219 000 DH,KIFAL - RENAULT Megane,2022,Automatique,Diesel,95 000 - 99 999,Renault,Megane,,,,6 CV,,Aucun
,داسيا دوكر,2021,Manuelle,Essence,25 000 - 29 999,Dacia,Dokker,5,WW au Maroc,Non,7 CV,Très bon,Aucun
227 000 DH,Mercedes-Benz Classe GLA 220 Diesel 2014,2014,Automatique,Diesel,170 000 - 179 999,Mercedes-Benz,Classe GLA,5,Importée neuve,,9 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques"
40 000 DH,Renault 19 storia,1996,Manuelle,Diesel,140 000 - 149 999,Renault,19,5,Dédouanée,Non,7 CV,Correct,Aucun
